RouteID,latitude,longitude,type,distance,eloc,address,tollGrpId,payment,agency,cost,lanes,state,tollName,road,duration,node,roadType,nodeIdx,
1,18.538327,78.239653,barrier,770971.7,JVXQ2T,"Srinagar Kanyakumari Highway, Indalwai, Nizamabad District, Telangana, 503164",509,['cash'],NHAI,290,6,Telangana;TG,Indalwai Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,60603.5,93750976,NGQ,12627,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,19.026579,78.362577,barrier,834972.8,JVXT2L,"Srinagar Kanyakumari Highway, Soan, Nirmal District, Telangana, 504105",221,['cash'],NHAI,205,6,Telangana;TG,Gamjal Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,65436.5,93942893,NGQ,13656,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,19.279922,78.409329,barrier,876760.1,JVXRCW,"Srinagar Kanyakumari Highway, Neradigonda, Adilabad District, Telangana, 504323",222,['cash'],NHAI,350,0,Telangana;TG,Rolmamda Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,68211.2,285087212,NGQ,14396,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,19.780937,78.565612,barrier,940646.6,JVXQQS,"Srinagar Kanyakumari Highway, Jainad, Adilabad District, Telangana, 504309",226,['cash'],NHAI,325,0,Telangana;TG,Pippalwada Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,73487.2,93942485,NGQ,15411,NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,20.019386,78.540194,barrier,970061.2,JVNQQM,"Srinagar Kanyakumari Highway, Kelapur, Yavatmal District, Maharashtra, 445302",518,['cash'],NHAI,365,2,Maharashtra;MH,Kelapur Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,75662.4,93751037,NGQ,15893,NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,20.450486,78.75504,barrier,1027723.2,JVNU3V,"Srinagar Kanyakumari Highway, Hinganghat, Wardha District, Maharashtra, 442307",534,['cash'],NHAI,390,5,Maharashtra;MH,Daroda Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,79978.3,293285344,NGQ,16860,NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,20.854786,78.962971,barrier,1084547.6,JVNK42,"Srinagar Kanyakumari Highway, Borkhedi, Maharashtra, 441108",376,['cash'],NHAI,475,5,Maharashtra;MH,Borkhedi Nagpur Bypass Toll Plaza,Srinagar Kanyakumari Highway;AH 43;NH 44,84399.6,87843109,NGQ,17726,NGQ>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.028294,79.06892,barrier,1109045,JVO8CV,"Nagpur Bypass, Nagpur Rural, Nagpur District, Maharashtra, 441108",248,['cash'],NHAI,455,5,Maharashtra;MH,Panjari Toll Plaza,Nagpur Bypass;Outer Ring Road;AH 43;NH 44,86750.7,87814452,NGQ,18117,NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.139587,79.3651,barrier,1148276,JVM9V6,"Mumbai Kolkata Highway, Mauda, Nagpur District, Maharashtra, 441104",692,['cash'],NHAI,220,5,Maharashtra;MH,WEPL Mathani Toll Plaza,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,90048.9,104022529,NHY,18697,NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.13965,79.675258,barrier,1182306.6,JVOC0I,"Mumbai Kolkata Highway, Bhandara, Bhandara District, Maharashtra, 441924",693,['cash'],NHAI,106,2,Maharashtra;MH,Kardha Toll Plaza,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,92829.7,104022540,NHY,19271,NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.088324,80.034127,barrier,1222545.6,JVOBDI,"Mumbai Kolkata Highway, Sakoli, Bhandara District, Maharashtra, 441802",691,['cash'],NHAI,330,4,Maharashtra;MH,Sendurwafa Toll Plaza,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,96188.8,104022513,NHY,19848,NHY>NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.117942,81.122385,barrier,1343204.8,JVZKL7,"Mumbai Kolkata Highway, Rajnandgaon, Rajnandgaon District, Chhattisgarh, 491443",661,['cash'],NHAI,375,0,Chhattisgarh;CT,Thakurtola Toll Plaza,Mumbai Kolkata Highway;AH 46;NH 53,105278.3,267889920,NHY,21743,NHY>NHY>NHY>NHY>NHY>NHY>NHY
1,21.214526,81.288009,barrier,1366570.2,JVZL34,"Durg Bypass, Durg, Durg District, Chhattisgarh, 491001",662,['cash'],NHAI,230,0,Chhattisgarh;CT,Durg Bypass Dhamdanaka Toll Plaza,Durg Bypass;Mumbai Kolkata Highway;AH 46;NH 53,106849.8,103935082,NHY,22108,NHY>NHY>NHY>NHY>NHY>NHY
1,21.252788,81.536872,barrier,1394409.1,JVZKAF,"Mumbai Kolkata Highway, Kumhari, Chhattisgarh, 490042",412,['cash'],NHAI,45,0,Chhattisgarh;CT,Kumhari Toll Plaza,Mumbai Kolkata Highway;Great Eastern Road;GE Road;AH 46;NH 53,109627.1,272437348,NHY,22535,NHY>NHY>NHY>NHY>NHY
1,21.483289,81.690819,barrier,1429741.9,I5B635,"Raipur Bilaspur Highway, Tilda, Raipur District, Chhattisgarh, 493221",390500012,['cash'],NHAI,310,0,Chhattisgarh;CT,Tarapoungi Toll Plaza,Raipur Bilaspur Highway;NH 30,112354.2,276689333,NHY,23122,NHY>NHY>NHY>NHY
1,21.932431,82.011712,barrier,1495212.4,JV01WA,"Raipur Bilaspur Highway, Bilha, Bilaspur District, Chhattisgarh, 495224",910,['cash'],NHAI,330,0,Chhattisgarh;CT,Bhojpuri Toll Plaza,Raipur Bilaspur Highway;NH 130,116978.8,279349933,NHY,24046,NHY>NHY>NHY
1,22.289027,82.303176,barrier,1555992.8,FEEKET,"NH 130, Beltara, Bilaspur District, Chhattisgarh, 495449",390522218,['cash'],NHAI,370,0,Chhattisgarh;CT,Limha Toll Plaza,NH 130,121110.6,284179135,NHY,25181,NHY>NHY
1,22.766578,82.480299,barrier,1632198.9,5V2UPV,"NH 130, Poundi Uproda, Korba District, Chhattisgarh, 495448",390522184,['cash'],NHAI,245,0,Chhattisgarh;CT,Chotiya Toll Plaza,NH 130,126213.1,283755006,NHY,26610,NHY
10,24.24139,72.462676,barrier,116959.6,JVI7ZO,"Abu Road, Palanpur, Banaskantha District, Gujarat, 385001",201,['cash'],NHAI,245,6,Gujarat;GJ,Khemana Toll Plaza,Abu Road;NH 27,9880.8,85062948,NGQ,2007,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,24.633628,72.90704,barrier,184960.9,JV3PAO,"NH 27, Pindwara, Sirohi District, Rajasthan, 307023",430,['cash'],NHAI,160,0,Rajasthan;RJ,Undavariya Sirohi Toll Plaza,NH 27,14737.8,267426677,NGQ,3089,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,24.712337,73.093821,barrier,217568.9,JV47L6,"NH 27, Pindwara, Sirohi District, Rajasthan, 307022",312,['cash'],NHAI,395,5,Rajasthan;RJ,Malera Toll Plaza,NH 27,16949.4,290676285,NGQ,3641,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,24.766046,73.524118,barrier,270570.6,JVYPCF,"NH 27, Gogunda, Udaipur District, Rajasthan, 313705",34,['cash'],NHAI,290,5,Rajasthan;RJ,Gogunda Jaswantgarh Toll Plaza,NH 27,21576.3,283578393,NGQ,4645,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,24.613792,74.231795,barrier,357903.8,JV6BMO,"NH 27, Bhindar, Udaipur District, Rajasthan, 313603",341,['cash'],NHAI,465,6,Rajasthan;RJ,Narayanpura Toll Plaza,NH 27,27289.7,277166431,NGQ,6180,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.033974,74.817506,barrier,443923.2,JV3UZS,"NH 27, Bassi, Chittorgarh District, Rajasthan, 312022",431,['cash'],NHAI,310,0,Rajasthan;RJ,Bassi Toll Plaza,NH 27,33237.1,94107017,NGQ,7550,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.091153,75.199044,barrier,500674.3,JV3UA2,"NH 27, Beejoliya, Bhilwara District, Rajasthan, 311602",35,['cash'],NHAI,265,3,Rajasthan;RJ,Aroli Toll Plaza,NH 27,37034.2,94105684,NGQ,8510,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.072635,75.598474,barrier,547249.8,JV3UKR,"NH 27, Talera, Bundi District, Rajasthan, 323022",43,['cash'],NHAI,260,4,Rajasthan;RJ,Dhaneshwar Toll Plaza,NH 27,40041.2,267417943,NGQ,9262,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
