RouteID,latitude,longitude,nodeIdx,road,address,tollName,agency,state,roadType,cost,payment,node,lanes,duration,tollGrpId,eloc,distance,type,Road Catagory
21,23.527324,72.388248,733,Ahmedabad Palanpur Highway;SH 41,"Ahmedabad Palanpur Highway, Mahesana, Mahesana District, Gujarat, 384460",Mehsana Toll Plaza,GSRDC,Gujarat;GJ,SHY,,,279154240,0,4780.7,390500069,JVIVPZ,43663,barrier,"SHY,SHY,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,23.186465,72.560319,1430,Ahmedabad Palanpur Highway;SH 41,"Ahmedabad Palanpur Highway, Gandhinagar, Gandhinagar District, Gujarat, 382423",Adalaj Toll Plaza,GSRDC,Gujarat;GJ,SHY,,,85169776,0,7631.7,192,JVKCUH,89277.5,barrier,"SHY,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,23.128532,72.592674,1582,Sardar Patel Ring Road;SP Ring Road,"Sardar Patel Ring Road, Gandhinagar, Gandhinagar District, Gujarat, 382421",Tragad Toll Plaza,,Gujarat;GJ,RDA,15,['cash'],270463361,0,8478.9,182,JVKGJ7,97671.4,barrier,"RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,23.115423,72.642845,1685,Sardar Patel Ring Road;SP Ring Road,"Sardar Patel Ring Road, Gandhinagar, Gujarat, 382426",Bhaat Toll Plaza,,Gujarat;GJ,RDA,16,['cash'],270506139,0,8886.5,177,JVKE2Z,103133.6,barrier,"RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,23.096256,72.686405,1801,Ahmedabad Bypass;Sardar Patel Ring Road;SP Ring Road;NH 48,"Ahmedabad Bypass, Asarva, Ahmedabad District, Gujarat, 382330",Ranasan Toll Plaza,NHAI,Gujarat;GJ,NGQ,30,['cash'],84941335,0,9333.2,181,JVKGG7,108676.7,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,22.983773,72.663833,2023,Ahmedabad Bypass;Sardar Patel Ring Road;SP Ring Road;NH 48,"Ahmedabad Bypass, Vatva, Ahmedabad District, Gujarat, 382449",Ramol Toll Plaza,NHAI,Gujarat;GJ,NGQ,30,['cash'],84941332,0,10617.2,180,JVKFD7,121631,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,22.970032,72.662089,2053,NE 1,"Ramol, Vatva, Ahmedabad District;Ahmadabad District, Gujarat, 382449",Ahmedabad Ring Road Entry Toll Plaza,NHAI,Gujarat;GJ,NGQ,135,['cash'],84941348,0,10811.9,390523106,JVKHP2,123184.9,ticket,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,22.413804,73.149435,3116,Ahmedabad Vadodara Expressway;Mahatma Gandhi Expressway;NE 1,"Ahmedabad Vadodara Expressway, Vadodara, Vadodara District, Gujarat, 391745",Vadodara Main Exit Toll Plaza,NHAI,Gujarat;GJ,NGQ,,,263939977,0,14800.7,173,JVKLK4,205350.1,ticket,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,22.014817,73.115347,4044,NH 48,"NH 48, Karjan, Vadodara District, Gujarat, 391244",Bharthana Karjan Toll Plaza,NHAI,Gujarat;GJ,NGQ,105,['cash'],84941320,0,19139.8,166,JVKK68,262005.1,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,21.702284,73.061148,4599,NH 48,"NH 48, Anklesvar, Bharuch District, Gujarat, 393010",Mandava Toll Plaza,NHAI,Gujarat;GJ,NGQ,30,['cash'],286477099,9,21675.5,871,JW34AF,300054.3,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
