Route_ID,longitude,latitude,distance,place_id,poi,subSubLocality,subLocality,locality,city,subDistrict,district,state,poplrName,address,tel,email,website,e_lng,e_lat,category,brand_code
10,72.985898,24.717043,167390,SJF5YD,Gujarat Gas CNG Station,,,,,Pindwara,Sirohi District,Rajasthan,,"Bharat Petroleum Petrol Pump, Old NH 14 Banas, Sirohi- Abu Road, Near Saibaba Temple, Pindwada- District Sirohi, Pindwara, Sirohi District, Rajasthan, 307019",,,www.gujaratgas.com,72.98582,24.717167,TRNCNG,B81120938
10,73.0107,24.74847,171689,MSERIX,Gujarat Gas CNG Station,,,,,Pindwara,Sirohi District,Rajasthan,,"Indian Oil Petrol Pump, NH 62, Pali Sirohi Road, Uthaman, Pindwara, Sirohi District, Rajasthan, 307022",,,www.gujaratgas.com,73.010797,24.748273,TRNCNG,B81120938
10,73.022855,24.760566,173499,BSYAR8,Gujarat Gas CNG Station,,,,,Pindwara,Sirohi District,Rajasthan,,"NH 27, Near Padharosa Hotel, Sirohi, Pindwara Udaipur Highway, Pindwara, Sirohi District, Rajasthan, 307022",,,www.gujaratgas.com,73.022796,24.760701,TRNCNG,B81120938
10,73.092782,24.714263,173710,BX9HY1,Gujarat Gas CNG Station,,,,,Pindwara,Sirohi District,Rajasthan,,"Near Swaroopgunj Toll Plaza, Udvariya, NH 27, Pindwara, Sirohi District, Rajasthan, 307022",,,www.gujaratgas.com,73.092933,24.714267,TRNCNG,B81120938
10,73.53925,24.753104,207984,VZ1ZR5,Adani Gas CNG Station,,,,,Gogunda,Udaipur District,Rajasthan,,"Indian Oil Petrol Pump, Village-Gogunda, District Udaipur, Gogunda, Udaipur District, Rajasthan, 313705",,,,73.539031,24.753078,TRNCNG,B81120934
10,73.660318,24.66776,211294,SJIOQW,Adani Gas CNG Station,,,,,Badgaon,Udaipur District,Rajasthan,,"Indian Oil Petrol Pump, NH 27 Ratharon Ka Gurha, Badgaon, Udaipur District, Rajasthan, 313011",,,www.adanigas.com,73.660403,24.667926,TRNCNG,B81120934
10,73.838728,24.618122,222712,SJIOC0,Adani Gas CNG Station,,,,,Mavli,Udaipur District,Rajasthan,,"Mavli, Udaipur District, Rajasthan, 313024",,,www.adanigas.com,73.838645,24.61787,TRNCNG,B81120934
10,73.84967,24.62062,223787,ADQX92,Adani Gas CNG Station,,,,,Mavli,Udaipur District,Rajasthan,,"Bharat Petroleum Petrol Pump, Udaipur Chittorgarh Highway, NH 27, Dabok, Mavli, Udaipur District, Rajasthan, 313022",,,www.adanigas.com,73.84955,24.620348,TRNCNG,B81120934
10,74.076876,24.611666,242750,VZ1YYW,Adani Gas CNG Station,,,,,Vallabhnagar,Udaipur District,Rajasthan,,"Vallabhnagar, Udaipur District, Rajasthan, 313602",,,,74.076782,24.611504,TRNCNG,B81120934
10,74.083248,24.610265,243228,WIE5KM,Adani Gas CNG Station,,,,,Vallabhnagar,Udaipur District,Rajasthan,,"Bharat Petroleum Petrol Pump, NH-27, Chittorgarh-Udaipur Road, Menar, Vallabhnagar, Udaipur District, Rajasthan, 313602",,,,74.083345,24.610346,TRNCNG,B81120934
10,74.571566,24.833677,298374,SJID44,Adani Gas CNG Station,,,,,Chittaurgarh,Chittorgarh District,Rajasthan,,"Chittaurgarh, Chittorgarh District, Rajasthan, 312025",,,www.adanigas.com,74.571405,24.833983,TRNCNG,B81120934
10,74.725163,24.981557,320008,VZ1P2E,Adani Gas CNG Station,,,,,Bassi,Chittorgarh District,Rajasthan,,"Indian Oil Petrol Pump, Nh 76, Vp Baldarakha, Bassi, Chittorgarh District, Rajasthan, 312022",,,,74.725115,24.981635,TRNCNG,B81120934
10,76.037914,25.16879,447353,ADR7LN,Torrent Gas CNG Station,,,,,Digod,Kota District,Rajasthan,,"Bharat Petroleum Petrol Pump, 129, NH 27, Baran Road, Digod, Kota District, Rajasthan, 325203",,,www.torrentgas.com,76.03804,25.169162,TRNCNG,B81121092
10,76.276595,25.154298,468835,CCIY87,Torrent Gas CNG Station,,,,,Antah,Baran District,Rajasthan,,"HP Petrol Pump, NH-27, Baran Road, Near Brijwasi Hotel, Bambori, Anta, Antah, Baran District, Rajasthan, 325209",,,www.torrentgas.com,76.276623,25.154021,TRNCNG,B81121092
10,76.431124,25.110954,481519,O4LIHB,Torrent Gas CNG Station,,,,,Baran,Baran District,Rajasthan,,"Indian Oil Petrol Pump, NH 27, Near Sarvmangal Jain Tirthdham, Baran, Baran District, Rajasthan, 325205",,,www.torrentgas.com,76.431213,25.111056,TRNCNG,B81121092
10,77.026802,25.156441,539610,O4LH49,Torrent Gas CNG Station,,,,,Shahbad,Baran District,Rajasthan,,"HP Petrol Pump, Village Gadretha, Near Samrania Tehsilshalbad National Highway 27, Shahbad, Baran District, Rajasthan, 325217",,,www.torrentgas.com,77.026735,25.155825,TRNCNG,B81121092
10,77.575694,25.282166,596400,IYXEJZ,Think Gas CNG Station,,,,,Kolaras,Shivpuri District,Madhya Pradesh,,"Kolaras, Shivpuri District, Madhya Pradesh, 473774",,,www.think-gas.com,77.575687,25.282094,TRNCNG,B81121221
10,77.78773,25.41508,621307,AK516U,Think Gas CNG Station,,,,,Shivpuri,Shivpuri District,Madhya Pradesh,,"Shivpuri, Shivpuri District, Madhya Pradesh, 473551",,,,77.787761,25.415129,TRNCNG,B81121221
10,78.499303,25.457226,690729,UNOEH4,Adani Gas CNG Station,,,,,Jhansi,Jhansi District,Uttar Pradesh,,"HP Petrol Pump, Village Sijwaha, NH 27, Jhansi Shivpuri Road, Raksha, Jhansi, Jhansi District, Uttar Pradesh, 284419",,,,78.499366,25.457354,TRNCNG,B81120934
10,78.554131,25.491818,697121,O4JAN3,Central UP Gas Limited CNG Station,,,Ansal Colony,Jhansi,Jhansi,Jhansi District,Uttar Pradesh,CUGL CNG Station,"NH-75, Mahendra Puri, Jhansi, Uttar Pradesh, 284002",,,cugl.co.in,78.554501,25.491834,TRNCNG,B81121075
10,81.111922,24.500283,929913,8FATCF,Bharat Petroleum CNG Station,,,,,Amarpatan,Satna District,Madhya Pradesh,,"Bharat Petroleum Petrol Pump, Village Rimar, NH 75, Satna Rewa Road, Rampur Baghelan, Amarpatan, Satna District, Madhya Pradesh, 485115",,,,81.111889,24.50022,TRNCNG,
10,81.271271,24.542944,946392,VZ0J5B,Indian Oil Corporation Limited CNG Station,,,Padra,Rewa,Huzur Nagar,Rewa District,Madhya Pradesh,,"Indian Oil Petrol Pump, Padrarewa Rewa City, Rewa, Madhya Pradesh, 486001",,,,81.271278,24.542909,TRNCNG,
10,81.292606,24.542602,948538,WIAYAK,Indian Oil Corporation Limited CNG Station,,,Civil Lines,Rewa,Huzur Nagar,Rewa District,Madhya Pradesh,,"Indian Oil Petrol Pump, Civil Lines Rewa, District Rewa, Rewa, Madhya Pradesh, 486001",,,,81.292611,24.542551,TRNCNG,
10,81.317125,24.54452,951027,VZ09EQ,Indian Oil Corporation Limited CNG Station,,,Ravindra Nagar,Rewa,Huzur Nagar,Rewa District,Madhya Pradesh,,"Indian Oil Petrol Pump, Near Jyoti School, City Road Rewa, District Rewa, Rewa, Madhya Pradesh, 486001",,,,81.317116,24.544569,TRNCNG,
11,72.035332,23.492268,1371,ZKTFCU,Sabarmati Gas CNG Station,,,,,Becharaji,Mahesana District,Gujarat,,"Survey No 4, Opposite Starline Showroom, Becharaji Viramgam Highway, Becharaji, Mahesana District, Gujarat, 384415",,,www.sabarmatigas.in,72.035359,23.492343,TRNCNG,B81120937
11,72.042789,23.496029,2090,NH5ZLB,Sabarmati Gas CNG Station,,,,Becharaji,Becharaji,Mahesana District,Gujarat,,"Indian Oil Petrol Pump, Near Becharaji Temple, Bechraji, Becharaji, Gujarat, 384415",,,www.sabarmatigas.in,72.042865,23.495921,TRNCNG,B81120937
11,72.362644,23.554854,35324,ZKTE68,Sabarmati Gas CNG Station,,,,,Mahesana,Mahesana District,Gujarat,,"Revenue Survey No 1383, Village Motap, Taluka Becharaji, Mahesana, Mahesana District, Gujarat, 384001",,,www.sabarmatigas.in,72.362782,23.554965,TRNCNG,B81120937
11,72.394465,23.439294,38467,CCITV8,Sabarmati Gas CNG Station,,,,,Mahesana,Mahesana District,Gujarat,,"Indian Oil Petrol Pump, Mehsana-Patan Highway, Mahesana, Mahesana District, Gujarat, 384455",,,www.sabarmatigas.in,72.394227,23.439364,TRNCNG,B81120937
11,72.394254,23.425695,38721,ZKTFG7,Sabarmati Gas CNG Station,,,,,Mahesana,Mahesana District,Gujarat,,"Survey No 88, SH 41, Near New Sahara Hotel, Mandali, Mahesana, Mahesana District, Gujarat, 384455",,,www.sabarmatigas.in,72.394433,23.425622,TRNCNG,B81120937
